seq,rtt_ms,transport,network,relayed
159,826.800,cloud-mqtt,lan,0
160,826.800,cloud-mqtt,lan,0
161,826.700,cloud-mqtt,lan,0
162,826.800,cloud-mqtt,lan,0
163,826.800,cloud-mqtt,lan,0
164,826.800,cloud-mqtt,lan,0
165,826.900,cloud-mqtt,lan,0
166,826.900,cloud-mqtt,lan,0
167,826.900,cloud-mqtt,lan,0
168,826.900,cloud-mqtt,lan,0
169,826.900,cloud-mqtt,lan,0
170,826.900,cloud-mqtt,lan,0
171,827.000,cloud-mqtt,lan,0
172,827.000,cloud-mqtt,lan,0
173,827.100,cloud-mqtt,lan,0
174,827.100,cloud-mqtt,lan,0
175,827.200,cloud-mqtt,lan,0
176,827.200,cloud-mqtt,lan,0
177,827.200,cloud-mqtt,lan,0
178,827.200,cloud-mqtt,lan,0
179,827.200,cloud-mqtt,lan,0
180,827.200,cloud-mqtt,lan,0
181,827.300,cloud-mqtt,lan,0
182,827.300,cloud-mqtt,lan,0
183,827.300,cloud-mqtt,lan,0
184,827.200,cloud-mqtt,lan,0
185,827.300,cloud-mqtt,lan,0
186,827.400,cloud-mqtt,lan,0
187,827.400,cloud-mqtt,lan,0
188,827.400,cloud-mqtt,lan,0
189,827.400,cloud-mqtt,lan,0
190,827.400,cloud-mqtt,lan,0
191,1318.200,cloud-mqtt,lan,0
192,1325.200,cloud-mqtt,lan,0
193,1327.100,cloud-mqtt,lan,0
194,1327.500,cloud-mqtt,lan,0
195,1327.600,cloud-mqtt,lan,0
196,1327.600,cloud-mqtt,lan,0
197,1327.600,cloud-mqtt,lan,0
198,1327.800,cloud-mqtt,lan,0
199,1328.000,cloud-mqtt,lan,0
200,1328.000,cloud-mqtt,lan,0
201,1328.200,cloud-mqtt,lan,0
202,1328.300,cloud-mqtt,lan,0
203,1328.400,cloud-mqtt,lan,0
204,1328.500,cloud-mqtt,lan,0
205,1328.600,cloud-mqtt,lan,0
206,1328.800,cloud-mqtt,lan,0
207,1329.000,cloud-mqtt,lan,0
208,1329.100,cloud-mqtt,lan,0
209,1329.300,cloud-mqtt,lan,0
210,1329.400,cloud-mqtt,lan,0
211,1329.600,cloud-mqtt,lan,0
212,1329.700,cloud-mqtt,lan,0
213,1329.800,cloud-mqtt,lan,0
214,1330.100,cloud-mqtt,lan,0
215,1330.200,cloud-mqtt,lan,0
216,1330.400,cloud-mqtt,lan,0
217,1330.500,cloud-mqtt,lan,0
218,1330.700,cloud-mqtt,lan,0
219,1330.800,cloud-mqtt,lan,0
220,1330.900,cloud-mqtt,lan,0
221,1331.000,cloud-mqtt,lan,0
222,1331.100,cloud-mqtt,lan,0
223,1331.400,cloud-mqtt,lan,0
224,1331.300,cloud-mqtt,lan,0
225,1331.500,cloud-mqtt,lan,0
226,1331.700,cloud-mqtt,lan,0
227,1331.900,cloud-mqtt,lan,0
228,1332.000,cloud-mqtt,lan,0
229,1332.200,cloud-mqtt,lan,0
230,1332.300,cloud-mqtt,lan,0
231,1332.500,cloud-mqtt,lan,0
232,1332.700,cloud-mqtt,lan,0
233,1332.800,cloud-mqtt,lan,0
234,1333.100,cloud-mqtt,lan,0
235,1333.100,cloud-mqtt,lan,0
236,1333.300,cloud-mqtt,lan,0
237,1333.400,cloud-mqtt,lan,0
238,1333.700,cloud-mqtt,lan,0
239,1333.800,cloud-mqtt,lan,0
240,1333.900,cloud-mqtt,lan,0
241,1334.100,cloud-mqtt,lan,0
242,1334.200,cloud-mqtt,lan,0
243,1334.300,cloud-mqtt,lan,0
244,1334.500,cloud-mqtt,lan,0
245,1334.600,cloud-mqtt,lan,0
246,1334.700,cloud-mqtt,lan,0
247,1334.800,cloud-mqtt,lan,0
248,1335.000,cloud-mqtt,lan,0
249,1335.100,cloud-mqtt,lan,0
250,1335.300,cloud-mqtt,lan,0
251,1335.500,cloud-mqtt,lan,0
252,1335.600,cloud-mqtt,lan,0
253,1335.600,cloud-mqtt,lan,0
254,1335.700,cloud-mqtt,lan,0
255,1335.900,cloud-mqtt,lan,0
256,1335.900,cloud-mqtt,lan,0
257,1336.000,cloud-mqtt,lan,0
258,1336.200,cloud-mqtt,lan,0
259,1336.100,cloud-mqtt,lan,0
260,1336.100,cloud-mqtt,lan,0
261,1336.100,cloud-mqtt,lan,0
262,1336.400,cloud-mqtt,lan,0
263,1336.400,cloud-mqtt,lan,0
264,1336.600,cloud-mqtt,lan,0
265,1336.900,cloud-mqtt,lan,0
266,1337.000,cloud-mqtt,lan,0
267,1337.000,cloud-mqtt,lan,0
268,1337.100,cloud-mqtt,lan,0
269,1337.100,cloud-mqtt,lan,0
270,1337.100,cloud-mqtt,lan,0
271,1337.100,cloud-mqtt,lan,0
272,1337.000,cloud-mqtt,lan,0
273,1337.000,cloud-mqtt,lan,0
274,1337.100,cloud-mqtt,lan,0
275,1337.200,cloud-mqtt,lan,0
276,1337.200,cloud-mqtt,lan,0
277,1337.200,cloud-mqtt,lan,0
278,1337.200,cloud-mqtt,lan,0
279,1337.200,cloud-mqtt,lan,0
280,1337.300,cloud-mqtt,lan,0
281,1337.300,cloud-mqtt,lan,0
282,1337.300,cloud-mqtt,lan,0
283,1337.200,cloud-mqtt,lan,0
284,1337.400,cloud-mqtt,lan,0
285,1337.500,cloud-mqtt,lan,0
286,1337.400,cloud-mqtt,lan,0
287,1337.400,cloud-mqtt,lan,0
288,1337.500,cloud-mqtt,lan,0
289,1337.500,cloud-mqtt,lan,0
290,1337.600,cloud-mqtt,lan,0
291,1337.700,cloud-mqtt,lan,0
292,1337.700,cloud-mqtt,lan,0
293,1337.700,cloud-mqtt,lan,0
294,1337.700,cloud-mqtt,lan,0
295,1337.700,cloud-mqtt,lan,0
296,1337.800,cloud-mqtt,lan,0
297,1337.800,cloud-mqtt,lan,0
298,1337.800,cloud-mqtt,lan,0
299,1337.800,cloud-mqtt,lan,0
300,1337.800,cloud-mqtt,lan,0
301,1337.800,cloud-mqtt,lan,0
302,1337.900,cloud-mqtt,lan,0
303,1337.900,cloud-mqtt,lan,0
304,1337.900,cloud-mqtt,lan,0
305,1337.900,cloud-mqtt,lan,0
306,1337.800,cloud-mqtt,lan,0
307,1337.800,cloud-mqtt,lan,0
308,1337.800,cloud-mqtt,lan,0
309,1337.800,cloud-mqtt,lan,0
310,1337.900,cloud-mqtt,lan,0
311,1338.000,cloud-mqtt,lan,0
312,1338.200,cloud-mqtt,lan,0
313,1338.300,cloud-mqtt,lan,0
314,1338.400,cloud-mqtt,lan,0
315,1338.500,cloud-mqtt,lan,0
316,1338.500,cloud-mqtt,lan,0
317,1338.600,cloud-mqtt,lan,0
318,1338.600,cloud-mqtt,lan,0
319,1338.600,cloud-mqtt,lan,0
320,1338.700,cloud-mqtt,lan,0
321,1338.700,cloud-mqtt,lan,0
322,1338.700,cloud-mqtt,lan,0
323,1338.800,cloud-mqtt,lan,0
324,1338.800,cloud-mqtt,lan,0
325,1338.900,cloud-mqtt,lan,0
326,1338.900,cloud-mqtt,lan,0
327,1338.900,cloud-mqtt,lan,0
328,1338.900,cloud-mqtt,lan,0
329,1338.900,cloud-mqtt,lan,0
330,1339.000,cloud-mqtt,lan,0
331,1339.100,cloud-mqtt,lan,0
332,1339.200,cloud-mqtt,lan,0
333,1339.300,cloud-mqtt,lan,0
334,1339.300,cloud-mqtt,lan,0
335,1339.300,cloud-mqtt,lan,0
336,1339.400,cloud-mqtt,lan,0
337,1339.400,cloud-mqtt,lan,0
338,1339.400,cloud-mqtt,lan,0
339,1339.400,cloud-mqtt,lan,0
340,1339.500,cloud-mqtt,lan,0
341,1339.600,cloud-mqtt,lan,0
342,1339.500,cloud-mqtt,lan,0
343,1339.500,cloud-mqtt,lan,0
344,1339.500,cloud-mqtt,lan,0
345,1339.500,cloud-mqtt,lan,0
346,1339.500,cloud-mqtt,lan,0
347,1339.600,cloud-mqtt,lan,0
348,1339.600,cloud-mqtt,lan,0
349,1339.600,cloud-mqtt,lan,0
350,1339.600,cloud-mqtt,lan,0
351,1339.600,cloud-mqtt,lan,0
352,1339.600,cloud-mqtt,lan,0
353,1339.500,cloud-mqtt,lan,0
354,1339.600,cloud-mqtt,lan,0
355,1339.600,cloud-mqtt,lan,0
356,1339.700,cloud-mqtt,lan,0
357,1339.700,cloud-mqtt,lan,0
358,1339.700,cloud-mqtt,lan,0
359,1339.700,cloud-mqtt,lan,0
360,1339.700,cloud-mqtt,lan,0
361,1339.600,cloud-mqtt,lan,0
362,1339.600,cloud-mqtt,lan,0
363,1339.600,cloud-mqtt,lan,0
364,1339.700,cloud-mqtt,lan,0
365,1339.700,cloud-mqtt,lan,0
366,1339.800,cloud-mqtt,lan,0
367,1339.800,cloud-mqtt,lan,0
368,1339.800,cloud-mqtt,lan,0
369,1339.800,cloud-mqtt,lan,0
370,1339.800,cloud-mqtt,lan,0
371,1339.800,cloud-mqtt,lan,0
372,1339.800,cloud-mqtt,lan,0
373,1339.800,cloud-mqtt,lan,0
374,1339.800,cloud-mqtt,lan,0
375,1339.800,cloud-mqtt,lan,0
376,1339.800,cloud-mqtt,lan,0
377,1339.800,cloud-mqtt,lan,0
378,1339.800,cloud-mqtt,lan,0
379,1339.800,cloud-mqtt,lan,0
380,1339.800,cloud-mqtt,lan,0
381,1339.800,cloud-mqtt,lan,0
382,1339.800,cloud-mqtt,lan,0
383,1339.800,cloud-mqtt,lan,0
384,1339.800,cloud-mqtt,lan,0
385,1339.800,cloud-mqtt,lan,0
386,1339.800,cloud-mqtt,lan,0
387,1340.000,cloud-mqtt,lan,0
388,1340.000,cloud-mqtt,lan,0
389,1340.000,cloud-mqtt,lan,0
390,1340.000,cloud-mqtt,lan,0
391,1340.000,cloud-mqtt,lan,0
392,1339.900,cloud-mqtt,lan,0
393,1339.900,cloud-mqtt,lan,0
394,1339.900,cloud-mqtt,lan,0
395,1340.000,cloud-mqtt,lan,0
396,1340.100,cloud-mqtt,lan,0
397,1340.100,cloud-mqtt,lan,0
398,1340.500,cloud-mqtt,lan,0
399,1340.500,cloud-mqtt,lan,0
400,1340.600,cloud-mqtt,lan,0
401,1340.700,cloud-mqtt,lan,0
402,1340.700,cloud-mqtt,lan,0
403,1340.900,cloud-mqtt,lan,0
404,1341.000,cloud-mqtt,lan,0
405,1341.100,cloud-mqtt,lan,0
406,1341.200,cloud-mqtt,lan,0
407,1341.300,cloud-mqtt,lan,0
