seq,rtt_ms,transport,network,relayed
149,1579.000,p2p-browser,cross-isp,1
150,1558.700,p2p-browser,cross-isp,1
151,2058.100,p2p-browser,cross-isp,1
152,2041.400,p2p-browser,cross-isp,1
153,2030.400,p2p-browser,cross-isp,1
154,2018.900,p2p-browser,cross-isp,1
155,2007.300,p2p-browser,cross-isp,1
156,1994.700,p2p-browser,cross-isp,1
157,1978.100,p2p-browser,cross-isp,1
158,1967.800,p2p-browser,cross-isp,1
159,1956.500,p2p-browser,cross-isp,1
160,1941.200,p2p-browser,cross-isp,1
161,1925.000,p2p-browser,cross-isp,1
162,1916.000,p2p-browser,cross-isp,1
163,1899.200,p2p-browser,cross-isp,1
164,1882.500,p2p-browser,cross-isp,1
165,1869.500,p2p-browser,cross-isp,1
166,1851.800,p2p-browser,cross-isp,1
167,1834.900,p2p-browser,cross-isp,1
168,1821.600,p2p-browser,cross-isp,1
169,1812.900,p2p-browser,cross-isp,1
170,1801.500,p2p-browser,cross-isp,1
171,1792.600,p2p-browser,cross-isp,1
172,1782.900,p2p-browser,cross-isp,1
173,1772.100,p2p-browser,cross-isp,1
174,1761.700,p2p-browser,cross-isp,1
175,1750.600,p2p-browser,cross-isp,1
176,1740.000,p2p-browser,cross-isp,1
177,1724.300,p2p-browser,cross-isp,1
178,1713.600,p2p-browser,cross-isp,1
179,1696.500,p2p-browser,cross-isp,1
180,1681.500,p2p-browser,cross-isp,1
181,1665.400,p2p-browser,cross-isp,1
182,1648.900,p2p-browser,cross-isp,1
183,1638.600,p2p-browser,cross-isp,1
184,1624.400,p2p-browser,cross-isp,1
185,1611.100,p2p-browser,cross-isp,1
186,1592.400,p2p-browser,cross-isp,1
187,1575.200,p2p-browser,cross-isp,1
188,1560.900,p2p-browser,cross-isp,1
189,1541.600,p2p-browser,cross-isp,1
190,1525.700,p2p-browser,cross-isp,1
191,1508.700,p2p-browser,cross-isp,1
192,1498.200,p2p-browser,cross-isp,1
193,1482.000,p2p-browser,cross-isp,1
194,1470.500,p2p-browser,cross-isp,1
195,1456.000,p2p-browser,cross-isp,1
196,1440.400,p2p-browser,cross-isp,1
197,1426.100,p2p-browser,cross-isp,1
198,1408.800,p2p-browser,cross-isp,1
199,1391.600,p2p-browser,cross-isp,1
200,1375.200,p2p-browser,cross-isp,1
201,1358.400,p2p-browser,cross-isp,1
202,1341.400,p2p-browser,cross-isp,1
203,1325.600,p2p-browser,cross-isp,1
204,1308.200,p2p-browser,cross-isp,1
205,1291.900,p2p-browser,cross-isp,1
206,1275.300,p2p-browser,cross-isp,1
207,1264.000,p2p-browser,cross-isp,1
208,1247.400,p2p-browser,cross-isp,1
209,1231.000,p2p-browser,cross-isp,1
210,1214.200,p2p-browser,cross-isp,1
211,1198.000,p2p-browser,cross-isp,1
212,1181.500,p2p-browser,cross-isp,1
213,1164.800,p2p-browser,cross-isp,1
214,1148.800,p2p-browser,cross-isp,1
215,1132.200,p2p-browser,cross-isp,1
216,1115.200,p2p-browser,cross-isp,1
