seq,rtt_ms,transport,network,relayed
176,14.900,p2p-browser,lan,0
177,13.400,p2p-browser,lan,0
178,6.900,p2p-browser,lan,0
179,35.500,p2p-browser,lan,0
180,27.400,p2p-browser,lan,0
181,16.800,p2p-browser,lan,0
182,12.600,p2p-browser,lan,0
183,8.800,p2p-browser,lan,0
184,53.500,p2p-browser,lan,0
185,42.800,p2p-browser,lan,0
186,31.100,p2p-browser,lan,0
187,20.000,p2p-browser,lan,0
188,8.700,p2p-browser,lan,0
189,15.100,p2p-browser,lan,0
190,20.600,p2p-browser,lan,0
191,11.600,p2p-browser,lan,0
192,8.700,p2p-browser,lan,0
193,10.500,p2p-browser,lan,0
194,6.800,p2p-browser,lan,0
195,11.800,p2p-browser,lan,0
196,10.000,p2p-browser,lan,0
197,10.300,p2p-browser,lan,0
198,8.700,p2p-browser,lan,0
199,24.100,p2p-browser,lan,0
200,13.300,p2p-browser,lan,0
201,8.800,p2p-browser,lan,0
202,8.700,p2p-browser,lan,0
203,10.000,p2p-browser,lan,0
204,5.400,p2p-browser,lan,0
205,14.300,p2p-browser,lan,0
206,8.800,p2p-browser,lan,0
207,6.500,p2p-browser,lan,0
208,6.500,p2p-browser,lan,0
209,17.400,p2p-browser,lan,0
210,9.200,p2p-browser,lan,0
211,5.500,p2p-browser,lan,0
212,11.100,p2p-browser,lan,0
213,36.900,p2p-browser,lan,0
214,26.400,p2p-browser,lan,0
215,17.100,p2p-browser,lan,0
216,10.700,p2p-browser,lan,0
217,6.400,p2p-browser,lan,0
218,13.300,p2p-browser,lan,0
219,16.200,p2p-browser,lan,0
220,58.700,p2p-browser,lan,0
221,49.500,p2p-browser,lan,0
222,39.000,p2p-browser,lan,0
223,28.900,p2p-browser,lan,0
224,20.300,p2p-browser,lan,0
225,26.600,p2p-browser,lan,0
226,16.600,p2p-browser,lan,0
227,7.400,p2p-browser,lan,0
228,17.200,p2p-browser,lan,0
229,13.400,p2p-browser,lan,0
230,8.700,p2p-browser,lan,0
231,7.900,p2p-browser,lan,0
232,6.700,p2p-browser,lan,0
233,12.400,p2p-browser,lan,0
234,13.400,p2p-browser,lan,0
235,22.500,p2p-browser,lan,0
236,26.400,p2p-browser,lan,0
237,16.200,p2p-browser,lan,0
238,16.400,p2p-browser,lan,0
239,13.500,p2p-browser,lan,0
240,6.600,p2p-browser,lan,0
241,17.900,p2p-browser,lan,0
242,7.600,p2p-browser,lan,0
243,11.700,p2p-browser,lan,0
244,7.200,p2p-browser,lan,0
245,9.100,p2p-browser,lan,0
246,8.400,p2p-browser,lan,0
247,20.000,p2p-browser,lan,0
248,9.800,p2p-browser,lan,0
249,7.900,p2p-browser,lan,0
250,22.700,p2p-browser,lan,0
251,38.000,p2p-browser,lan,0
252,27.600,p2p-browser,lan,0
253,17.300,p2p-browser,lan,0
254,7.100,p2p-browser,lan,0
255,6.000,p2p-browser,lan,0
256,7.500,p2p-browser,lan,0
257,25.100,p2p-browser,lan,0
258,13.400,p2p-browser,lan,0
259,6.600,p2p-browser,lan,0
260,28.200,p2p-browser,lan,0
261,37.300,p2p-browser,lan,0
262,27.000,p2p-browser,lan,0
263,28.700,p2p-browser,lan,0
264,55.000,p2p-browser,lan,0
265,44.200,p2p-browser,lan,0
266,85.700,p2p-browser,lan,0
267,83.000,p2p-browser,lan,0
268,72.100,p2p-browser,lan,0
269,61.900,p2p-browser,lan,0
270,50.800,p2p-browser,lan,0
271,40.000,p2p-browser,lan,0
272,29.400,p2p-browser,lan,0
273,19.400,p2p-browser,lan,0
274,19.300,p2p-browser,lan,0
275,59.400,p2p-browser,lan,0
276,70.000,p2p-browser,lan,0
277,59.700,p2p-browser,lan,0
278,49.500,p2p-browser,lan,0
279,39.300,p2p-browser,lan,0
280,28.400,p2p-browser,lan,0
281,17.900,p2p-browser,lan,0
282,14.800,p2p-browser,lan,0
283,8.700,p2p-browser,lan,0
284,8.500,p2p-browser,lan,0
285,8.200,p2p-browser,lan,0
286,23.700,p2p-browser,lan,0
287,13.400,p2p-browser,lan,0
288,5.700,p2p-browser,lan,0
289,53.600,p2p-browser,lan,0
290,43.600,p2p-browser,lan,0
291,66.100,p2p-browser,lan,0
292,68.000,p2p-browser,lan,0
293,57.300,p2p-browser,lan,0
294,47.000,p2p-browser,lan,0
295,36.200,p2p-browser,lan,0
296,24.300,p2p-browser,lan,0
297,13.700,p2p-browser,lan,0
298,63.400,p2p-browser,lan,0
299,52.600,p2p-browser,lan,0
300,66.400,p2p-browser,lan,0
301,56.100,p2p-browser,lan,0
302,45.700,p2p-browser,lan,0
303,34.300,p2p-browser,lan,0
304,24.000,p2p-browser,lan,0
305,26.300,p2p-browser,lan,0
306,15.800,p2p-browser,lan,0
307,8.200,p2p-browser,lan,0
308,13.600,p2p-browser,lan,0
309,9.200,p2p-browser,lan,0
310,13.900,p2p-browser,lan,0
311,10.600,p2p-browser,lan,0
312,7.900,p2p-browser,lan,0
313,9.600,p2p-browser,lan,0
314,10.900,p2p-browser,lan,0
315,90.100,p2p-browser,lan,0
316,78.700,p2p-browser,lan,0
317,67.600,p2p-browser,lan,0
318,57.400,p2p-browser,lan,0
319,46.800,p2p-browser,lan,0
320,35.900,p2p-browser,lan,0
321,25.200,p2p-browser,lan,0
322,22.400,p2p-browser,lan,0
323,11.600,p2p-browser,lan,0
324,7.100,p2p-browser,lan,0
325,18.200,p2p-browser,lan,0
326,25.300,p2p-browser,lan,0
327,28.700,p2p-browser,lan,0
328,17.800,p2p-browser,lan,0
329,33.700,p2p-browser,lan,0
330,22.900,p2p-browser,lan,0
331,11.700,p2p-browser,lan,0
332,37.700,p2p-browser,lan,0
333,37.700,p2p-browser,lan,0
334,27.200,p2p-browser,lan,0
335,17.000,p2p-browser,lan,0
336,8.100,p2p-browser,lan,0
337,29.500,p2p-browser,lan,0
338,19.500,p2p-browser,lan,0
339,17.000,p2p-browser,lan,0
340,9.900,p2p-browser,lan,0
341,8.400,p2p-browser,lan,0
342,7.600,p2p-browser,lan,0
343,13.600,p2p-browser,lan,0
344,16.800,p2p-browser,lan,0
345,6.800,p2p-browser,lan,0
346,11.700,p2p-browser,lan,0
347,7.000,p2p-browser,lan,0
348,14.500,p2p-browser,lan,0
349,12.100,p2p-browser,lan,0
350,9.400,p2p-browser,lan,0
351,7.500,p2p-browser,lan,0
352,11.800,p2p-browser,lan,0
353,12.800,p2p-browser,lan,0
354,7.400,p2p-browser,lan,0
355,18.700,p2p-browser,lan,0
356,11.100,p2p-browser,lan,0
357,6.800,p2p-browser,lan,0
358,18.700,p2p-browser,lan,0
359,12.100,p2p-browser,lan,0
360,5.300,p2p-browser,lan,0
361,7.700,p2p-browser,lan,0
362,31.000,p2p-browser,lan,0
363,20.500,p2p-browser,lan,0
364,9.600,p2p-browser,lan,0
365,11.100,p2p-browser,lan,0
366,14.000,p2p-browser,lan,0
367,11.300,p2p-browser,lan,0
368,11.700,p2p-browser,lan,0
369,7.000,p2p-browser,lan,0
370,8.100,p2p-browser,lan,0
371,14.600,p2p-browser,lan,0
372,8.700,p2p-browser,lan,0
373,7.600,p2p-browser,lan,0
374,18.500,p2p-browser,lan,0
375,16.800,p2p-browser,lan,0
376,6.700,p2p-browser,lan,0
377,13.100,p2p-browser,lan,0
378,11.500,p2p-browser,lan,0
379,12.100,p2p-browser,lan,0
380,33.400,p2p-browser,lan,0
381,22.500,p2p-browser,lan,0
382,12.100,p2p-browser,lan,0
383,6.500,p2p-browser,lan,0
384,9.100,p2p-browser,lan,0
385,9.200,p2p-browser,lan,0
386,6.200,p2p-browser,lan,0
387,8.000,p2p-browser,lan,0
388,13.400,p2p-browser,lan,0
389,6.600,p2p-browser,lan,0
390,26.800,p2p-browser,lan,0
391,19.500,p2p-browser,lan,0
392,14.900,p2p-browser,lan,0
393,9.400,p2p-browser,lan,0
394,7.900,p2p-browser,lan,0
395,15.800,p2p-browser,lan,0
396,6.500,p2p-browser,lan,0
397,30.700,p2p-browser,lan,0
398,20.400,p2p-browser,lan,0
399,22.600,p2p-browser,lan,0
400,32.400,p2p-browser,lan,0
401,20.900,p2p-browser,lan,0
402,87.800,p2p-browser,lan,0
403,76.600,p2p-browser,lan,0
404,66.300,p2p-browser,lan,0
405,56.100,p2p-browser,lan,0
406,45.500,p2p-browser,lan,0
407,35.100,p2p-browser,lan,0
408,24.700,p2p-browser,lan,0
409,15.700,p2p-browser,lan,0
410,15.100,p2p-browser,lan,0
411,11.300,p2p-browser,lan,0
412,13.700,p2p-browser,lan,0
413,7.900,p2p-browser,lan,0
414,6.800,p2p-browser,lan,0
415,32.200,p2p-browser,lan,0
416,27.800,p2p-browser,lan,0
417,17.200,p2p-browser,lan,0
418,8.100,p2p-browser,lan,0
419,9.300,p2p-browser,lan,0
420,28.400,p2p-browser,lan,0
421,16.500,p2p-browser,lan,0
422,12.600,p2p-browser,lan,0
423,7.900,p2p-browser,lan,0
424,17.000,p2p-browser,lan,0
425,19.000,p2p-browser,lan,0
426,8.600,p2p-browser,lan,0
427,6.100,p2p-browser,lan,0
428,6.700,p2p-browser,lan,0
429,16.100,p2p-browser,lan,0
430,9.600,p2p-browser,lan,0
431,7.800,p2p-browser,lan,0
432,13.500,p2p-browser,lan,0
433,8.800,p2p-browser,lan,0
434,9.500,p2p-browser,lan,0
435,9.400,p2p-browser,lan,0
436,13.100,p2p-browser,lan,0
437,9.900,p2p-browser,lan,0
438,12.600,p2p-browser,lan,0
439,12.800,p2p-browser,lan,0
440,8.900,p2p-browser,lan,0
441,17.000,p2p-browser,lan,0
442,14.700,p2p-browser,lan,0
443,5.700,p2p-browser,lan,0
444,19.300,p2p-browser,lan,0
445,8.800,p2p-browser,lan,0
446,8.800,p2p-browser,lan,0
447,9.000,p2p-browser,lan,0
448,31.400,p2p-browser,lan,0
449,21.200,p2p-browser,lan,0
450,10.900,p2p-browser,lan,0
451,10.300,p2p-browser,lan,0
452,10.700,p2p-browser,lan,0
453,6.400,p2p-browser,lan,0
454,21.400,p2p-browser,lan,0
455,11.200,p2p-browser,lan,0
456,10.200,p2p-browser,lan,0
457,6.700,p2p-browser,lan,0
458,30.700,p2p-browser,lan,0
459,19.500,p2p-browser,lan,0
460,9.600,p2p-browser,lan,0
461,20.500,p2p-browser,lan,0
462,10.300,p2p-browser,lan,0
463,14.500,p2p-browser,lan,0
464,6.500,p2p-browser,lan,0
465,7.200,p2p-browser,lan,0
466,21.300,p2p-browser,lan,0
467,20.600,p2p-browser,lan,0
468,9.800,p2p-browser,lan,0
469,9.900,p2p-browser,lan,0
470,10.300,p2p-browser,lan,0
471,17.500,p2p-browser,lan,0
472,43.300,p2p-browser,lan,0
473,32.900,p2p-browser,lan,0
474,35.300,p2p-browser,lan,0
475,50.400,p2p-browser,lan,0
476,39.500,p2p-browser,lan,0
477,28.500,p2p-browser,lan,0
478,34.400,p2p-browser,lan,0
479,23.300,p2p-browser,lan,0
480,29.100,p2p-browser,lan,0
481,18.000,p2p-browser,lan,0
482,7.200,p2p-browser,lan,0
483,20.500,p2p-browser,lan,0
484,37.400,p2p-browser,lan,0
485,27.200,p2p-browser,lan,0
486,17.100,p2p-browser,lan,0
487,18.700,p2p-browser,lan,0
488,7.700,p2p-browser,lan,0
489,6.600,p2p-browser,lan,0
490,18.200,p2p-browser,lan,0
491,9.200,p2p-browser,lan,0
492,8.600,p2p-browser,lan,0
493,8.300,p2p-browser,lan,0
494,13.800,p2p-browser,lan,0
495,6.300,p2p-browser,lan,0
496,15.300,p2p-browser,lan,0
497,8.000,p2p-browser,lan,0
498,12.500,p2p-browser,lan,0
499,5.300,p2p-browser,lan,0
500,10.300,p2p-browser,lan,0
501,11.800,p2p-browser,lan,0
502,8.500,p2p-browser,lan,0
503,9.600,p2p-browser,lan,0
504,5.700,p2p-browser,lan,0
505,25.500,p2p-browser,lan,0
506,14.500,p2p-browser,lan,0
507,11.300,p2p-browser,lan,0
508,5.400,p2p-browser,lan,0
509,10.600,p2p-browser,lan,0
510,7.200,p2p-browser,lan,0
511,14.100,p2p-browser,lan,0
