seq,rtt_ms,transport,network,relayed
137,1490.600,cloud-mqtt,cross-isp,0
138,1479.400,cloud-mqtt,cross-isp,0
139,1468.000,cloud-mqtt,cross-isp,0
140,1457.200,cloud-mqtt,cross-isp,0
141,1445.900,cloud-mqtt,cross-isp,0
142,1434.700,cloud-mqtt,cross-isp,0
143,1424.000,cloud-mqtt,cross-isp,0
144,1412.800,cloud-mqtt,cross-isp,0
145,1402.000,cloud-mqtt,cross-isp,0
146,1390.800,cloud-mqtt,cross-isp,0
147,1379.800,cloud-mqtt,cross-isp,0
148,1368.400,cloud-mqtt,cross-isp,0
149,1357.400,cloud-mqtt,cross-isp,0
150,1346.400,cloud-mqtt,cross-isp,0
151,1335.200,cloud-mqtt,cross-isp,0
152,1324.200,cloud-mqtt,cross-isp,0
153,1314.000,cloud-mqtt,cross-isp,0
154,1301.900,cloud-mqtt,cross-isp,0
155,1291.300,cloud-mqtt,cross-isp,0
156,1280.500,cloud-mqtt,cross-isp,0
157,1268.500,cloud-mqtt,cross-isp,0
158,1257.800,cloud-mqtt,cross-isp,0
159,1247.500,cloud-mqtt,cross-isp,0
160,1236.500,cloud-mqtt,cross-isp,0
161,1226.200,cloud-mqtt,cross-isp,0
162,1215.300,cloud-mqtt,cross-isp,0
163,1204.400,cloud-mqtt,cross-isp,0
164,1193.800,cloud-mqtt,cross-isp,0
165,1183.300,cloud-mqtt,cross-isp,0
166,1172.300,cloud-mqtt,cross-isp,0
167,1161.000,cloud-mqtt,cross-isp,0
168,1149.700,cloud-mqtt,cross-isp,0
169,1138.500,cloud-mqtt,cross-isp,0
170,1127.500,cloud-mqtt,cross-isp,0
171,1116.800,cloud-mqtt,cross-isp,0
172,1106.400,cloud-mqtt,cross-isp,0
173,1095.200,cloud-mqtt,cross-isp,0
174,1084.400,cloud-mqtt,cross-isp,0
175,1073.400,cloud-mqtt,cross-isp,0
176,1063.100,cloud-mqtt,cross-isp,0
177,1051.700,cloud-mqtt,cross-isp,0
178,1041.200,cloud-mqtt,cross-isp,0
179,1030.300,cloud-mqtt,cross-isp,0
180,1018.900,cloud-mqtt,cross-isp,0
181,1069.200,cloud-mqtt,cross-isp,0
182,1240.100,cloud-mqtt,cross-isp,0
183,1229.900,cloud-mqtt,cross-isp,0
184,1219.700,cloud-mqtt,cross-isp,0
185,1209.000,cloud-mqtt,cross-isp,0
186,1198.400,cloud-mqtt,cross-isp,0
